                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.73885,                0.60011,                 1.0117,                0.76288,                 1.1776,                 1.0266,                0.99729,                    0.8,                0.94825,                0.82764,                0.54182,                 0.6325,                0.94611,                0.58229,                 2.0372,                0.97925,              0.0011981,              0.0011981,              0.0011981
                     84,                0.71647,                0.64677,                0.97472,                0.83284,                 1.3429,                 1.0366,                0.98696,                    0.8,                0.95643,                0.84762,                0.55272,                0.65855,                0.94464,                0.55235,                 1.9216,                0.97857,              0.0011882,              0.0011882,              0.0011882
                     85,                0.66259,                0.63536,                 1.0259,                0.80067,                 1.2708,                 1.0886,                0.98696,                    0.8,                0.95643,                0.84762,                0.55272,                0.65855,                0.94464,                0.55235,                 1.9216,                0.97857,              0.0011783,              0.0011783,              0.0011783
                     86,                0.71958,                0.70719,                 1.1234,                 0.8368,                 1.4317,                 1.1321,                0.96909,                    0.8,                0.93786,                0.84485,                0.48675,                0.63147,                0.89129,                0.48762,                 1.8957,                0.93246,              0.0011684,              0.0011684,              0.0011684
                     87,                0.71842,                0.62842,                0.99817,                0.86776,                  1.212,                  1.045,                0.88189,                    0.8,                0.89756,                0.80229,                0.48527,                 0.6602,                0.87957,                0.49335,                 2.0015,                0.91748,              0.0011585,              0.0011585,              0.0011585
                     88,                0.89862,                0.72403,                 1.0748,                 1.0036,                 1.4062,                 1.1446,                0.93056,                    0.9,                0.97833,                0.86623,                0.51399,                  0.648,                0.91224,                0.63353,                 1.7431,                0.98672,              0.0011486,              0.0011486,              0.0011486
                     89,                0.70278,                0.61392,                 1.0422,                0.87828,                 1.2018,                 1.1102,                0.93056,                    0.9,                0.97833,                0.86623,                0.51399,                  0.648,                0.91224,                0.63353,                 1.7431,                0.98672,              0.0011387,              0.0011387,              0.0011387
                     90,                 0.6625,                0.55105,                0.96806,                0.76466,                 1.0821,                0.98701,                 0.8996,                0.89637,                0.97682,                0.86268,                0.52716,                0.60387,                0.93839,                0.60544,                 1.6933,                0.98946,              0.0011288,              0.0011288,              0.0011288
                     91,                0.61612,                0.63879,                 1.0042,                0.70367,                 1.3686,                 1.0052,                0.82424,                0.93997,                0.96833,                0.86839,                0.49561,                0.58945,                0.91764,                0.52434,                 1.5903,                0.94563,              0.0011189,              0.0011189,              0.0011189
                     92,                0.69068,                0.66287,                 1.0627,                0.92145,                 1.3523,                 1.1022,                0.90804,                0.98845,                0.97682,                0.87901,                 0.4969,                0.55169,                0.89653,                0.49851,                 1.5169,                0.91186,               0.001109,               0.001109,               0.001109
                     93,                0.67101,                0.58609,                0.94789,                 0.7667,                 1.2496,                0.99324,                0.90804,                0.98845,                0.97682,                0.87901,                 0.4969,                0.55169,                0.89653,                0.49851,                 1.5169,                0.91186,              0.0010991,              0.0010991,              0.0010991
                     94,                0.72079,                0.58054,                 1.0413,                0.82713,                 1.0912,                 1.0607,                0.96349,                      1,                  0.995,                0.87966,                0.54105,                0.58434,                0.93755,                0.51022,                  1.467,                 0.9043,              0.0010892,              0.0010892,              0.0010892
                     95,                0.72592,                0.64011,                 1.0308,                0.87263,                 1.2232,                 1.0696,                      1,                 0.9894,                  0.995,                 0.8747,                0.52605,                 0.5725,                0.92579,                0.51024,                 1.4243,                0.89385,              0.0010793,              0.0010793,              0.0010793
                     96,                0.89785,                0.73793,                 1.1673,                 1.0322,                 1.3326,                 1.2121,                      1,                0.89414,                0.98591,                0.91723,                0.47518,                0.53043,                0.91663,                0.45726,                 1.4304,                0.87819,              0.0010694,              0.0010694,              0.0010694
                     97,                0.69523,                 0.6142,                  1.009,                0.80452,                 1.2073,                 1.0326,                      1,                0.89414,                0.98591,                0.91723,                0.47518,                0.53043,                0.91663,                0.45726,                 1.4304,                0.87819,              0.0010595,              0.0010595,              0.0010595
                     98,                0.68114,                 0.6041,                0.99805,                0.81837,                 1.1344,                 1.0513,                0.97875,                    0.8,                0.96167,                0.86724,                0.48064,                0.53876,                0.93008,                0.50313,                  1.482,                0.89731,              0.0010496,              0.0010496,              0.0010496
                     99,                0.85993,                0.67723,                 1.1009,                0.92387,                 1.2248,                 1.1597,                0.84935,                      1,                0.97682,                0.85524,                0.50278,                0.53163,                0.91121,                0.51286,                 1.4725,                0.91022,              0.0010397,              0.0010397,              0.0010397
                    100,                0.84119,                 0.6779,                 1.0236,                0.88365,                 1.2192,                 1.0483,                      1,                0.97109,                  0.995,                0.91734,                0.43791,                0.51596,                0.87768,                 0.4504,                 1.3718,                0.88024,              0.0010298,              0.0010298,              0.0010298
                    101,                0.79825,                0.66763,                 1.0495,                0.96177,                 1.1957,                 1.0917,                      1,                0.97109,                  0.995,                0.91734,                0.43791,                0.51596,                0.87768,                 0.4504,                 1.3718,                0.88024,              0.0010199,              0.0010199,              0.0010199
                    102,                0.72006,                 0.6347,                 1.0143,                0.82247,                 1.2048,                 1.0539,                      1,                0.98906,                  0.995,                0.91332,                0.42675,                0.50104,                0.88594,                0.48897,                 1.3226,                0.90401,                0.00101,                0.00101,                0.00101
                    103,                0.72824,                0.61576,                 1.0187,                 0.8954,                 1.0676,                 1.0596,                0.97501,                      1,                  0.995,                0.90872,                0.40677,                 0.4718,                 0.8792,                0.47847,                   1.29,                0.89893,              0.0010001,              0.0010001,              0.0010001
